CustomerID,Timestamp,PurchaseValue
5611860a94204a4078659f1667372cc4,2017-02-09T18:31:00Z,4.72
07b260307114f9cffc5601eb7ad4b565,2017-06-28T19:26:00Z,5.33
1ede55062d0d68c70fc4d355a5328d11,2017-07-28T17:47:00Z,5.35
42b8e86e8da5e35628bcdc146c358665,2016-12-17T22:59:00Z,6.0
1047f2787b7efc759d7ffcbc40ef7e19,2016-12-05T17:23:00Z,6.28
9f447f9415a380ac2eeee7df49c6ee7e,2017-07-30T22:30:00Z,6.31
74861e1725839abe0380cfe69f705d1a,2017-08-02T19:46:00Z,6.5
060d05d91f46ece840bda69ee4f0d8b1,2017-08-05T18:40:00Z,7.14
36809e7ed5f2eea00d1cf4ed25b2ef3c,2017-08-22T23:52:00Z,7.85
48a503edbaded96a3be27deee11967a1,2017-07-26T23:33:00Z,8.33
b129da41da5971ef2f449fe550d9c319,2017-07-23T00:32:00Z,8.5
6f76cb699421405a52ad7c265af18d53,2017-09-24T17:10:00Z,11.12
5f01420f0edda6555df5ce1cc62b986c,2017-07-05T02:23:00Z,12.63
48a503edbaded96a3be27deee11967a1,2017-04-12T18:23:00Z,12.7
3b11478939967e896ae2619615650f97,2017-08-04T20:17:00Z,13.8
036d19c6d71165c83286dec7eb25c89c,2017-08-10T01:48:00Z,14.15
b129da41da5971ef2f449fe550d9c319,2017-07-26T18:27:00Z,14.31
409994b27f587cdfd258a0b9c9639c8e,2017-07-04T23:03:00Z,14.75
8d2ce54737dd404d20cadf1405d46dc8,2017-07-21T22:01:00Z,14.81
036d19c6d71165c83286dec7eb25c89c,2017-05-18T21:51:00Z,14.95
a602284f68924fc8143c6f980ea31935,2017-06-14T18:30:00Z,15.57
df79c5da0570934c21e86fc0a193d820,2017-07-17T01:11:00Z,15.6
9d289e3b0d123292a11eef8dce7ae66f,2017-10-17T14:51:00Z,15.61
fb5506a64688a8564b625f39fe8cc96f,2017-07-28T22:10:00Z,15.98
3a0ce6dc26883fa51c82480f2cbc2177,2017-10-16T19:42:00Z,16.05
ec8deb8d7ed2c3549974979500df7307,2017-07-28T06:22:00Z,16.11
0aceec663cec529d2484159c635d01a6,2017-08-23T04:08:00Z,16.26
15e20f36220dd72101f937433465f328,2017-07-28T14:33:00Z,16.38
abffe978c412a80ac806636148111e25,2017-06-28T00:28:00Z,16.55
a6d16066cc225139ddf01aa9fd8723aa,2017-09-28T13:51:00Z,16.64
7f10acf6b4b7625433ca3efca2492b60,2017-06-29T14:25:00Z,16.69
9f447f9415a380ac2eeee7df49c6ee7e,2017-07-27T15:38:00Z,16.98
6413a69209059cfb2f5c324816378b34,2017-08-31T18:41:00Z,17.06
3bf91da33638c5cf1e3d2c7f4fce8582,2017-08-02T15:03:00Z,17.22
feeb6791f303fd34059c06d368f218e3,2017-07-26T15:52:00Z,17.34
514234d73b9357b87ae7aa5b4d0ff998,2017-09-15T06:29:00Z,17.4
0b937997e6f55b43f95a14c1c6fe94e2,2017-09-28T13:47:00Z,17.53
1747a7521650f9291048051322fa7739,2017-08-16T14:59:00Z,17.54
ed7661a9ded7f5f688346722a3f79e6f,2017-08-15T14:27:00Z,17.56
a91879515026247a2840ff87e0347eaf,2017-09-28T12:46:00Z,17.65
5c5847ba25bfb9521d50bf36a5297a8d,2017-03-30T17:06:00Z,17.76
d7201fc4564fd8bcf2a3d899f28e490c,2017-07-26T16:01:00Z,17.89
a6d64bf2e553ea6a5655f190c77a935a,2017-09-14T14:13:00Z,17.92
c249ed5e6830b39605cf5437801eae5a,2017-07-26T22:51:00Z,18.01
7a73e1e71043532c14c62cbfff575726,2017-08-10T17:24:00Z,18.05
46454d378a1332750c086fb1101c07ce,2017-08-10T13:20:00Z,18.1
5535637ad2cd49eeb26f6199b6f9b657,2017-08-15T14:00:00Z,18.11
044109c5b3cb0cd90be9fa6757079882,2017-06-28T21:25:00Z,18.2
143b2829ba652e3b8b0ec6aa79687818,2017-10-03T23:03:00Z,18.28
3b11478939967e896ae2619615650f97,2017-09-09T23:26:00Z,18.42
9f447f9415a380ac2eeee7df49c6ee7e,2017-07-25T18:31:00Z,18.48
221ac459bf78a09406ac818f9103218b,2017-06-11T19:47:00Z,18.49
5f01420f0edda6555df5ce1cc62b986c,2017-06-02T17:04:00Z,18.52
5c5847ba25bfb9521d50bf36a5297a8d,2017-04-21T16:28:00Z,18.52
221ac459bf78a09406ac818f9103218b,2017-06-11T19:43:00Z,18.57
6f76cb699421405a52ad7c265af18d53,2017-10-04T11:29:00Z,18.72
8554d96a22c9e7d2274f5fbea8181ede,2017-07-21T21:39:00Z,18.81
9f447f9415a380ac2eeee7df49c6ee7e,2017-07-23T14:28:00Z,18.96
ac2c5d3318fdd086d362f9b7c46c2cb4,2017-08-13T03:36:00Z,19.34
036d19c6d71165c83286dec7eb25c89c,2017-07-10T01:47:00Z,19.59
221ac459bf78a09406ac818f9103218b,2017-07-22T23:05:00Z,19.63
268d491a1143bf045efd1fd14fe3eef2,2017-08-01T20:22:00Z,19.64
cdf642859ae8d9a1e489c3a655cba827,2017-05-31T18:56:00Z,20.04
a33b6a34f44195b1465c7425636a5128,2017-06-28T16:12:00Z,20.05
8437de7a0c4a4bf70135ed25dd6994c1,2017-03-28T05:42:00Z,20.36
626714b0705755e2ce830c004105fcc0,2017-08-02T21:43:00Z,20.43
0ce18188a2a413ba9387bb57f270d384,2017-07-14T20:52:00Z,20.68
b866ecda02d1c74059f9a60352b05450,2017-03-30T19:49:00Z,21.06
c757727e53d45ce13cc23bf8d82d5b79,2017-09-28T16:05:00Z,21.31
f2ebc230e8907f8ac53f4c4d64b127f8,2017-08-10T22:46:00Z,21.31
17831886fe894ed3df089dd9320ba3bb,2017-03-31T19:53:00Z,21.37
cf51717693dafa50a2e60107429490a7,2017-10-17T02:20:00Z,21.38
b09de3d6860d2979913a764cf6c46bc0,2017-10-16T19:54:00Z,21.42
e555af88de5327b85114acc143eeadda,2017-10-16T17:38:00Z,21.44
de5133123374651f791d1a355d2b30a3,2017-09-29T01:59:00Z,21.47
c757727e53d45ce13cc23bf8d82d5b79,2017-09-28T18:35:00Z,21.47
52865399b081f180c1e7312193e86802,2017-10-16T14:13:00Z,21.48
b2d353e7fed24b7710243a6fc5900435,2017-04-01T13:22:00Z,21.48
429d5a7b02e247deb860c6618a30d9fc,2016-12-25T21:19:00Z,21.48
f4740dc8c184d5030578250b43b8c419,2017-10-17T18:59:00Z,21.49
d11cbc9b00769029590a373ef89e95c7,2017-09-29T00:24:00Z,21.53
7df118061ae8829b3aefdae1984bd4a3,2017-09-14T15:16:00Z,21.53
ed7661a9ded7f5f688346722a3f79e6f,2017-11-17T14:15:00Z,21.56
663cb49b537ac41da36d8ee5e6fc782d,2017-09-14T14:18:00Z,21.63
7df118061ae8829b3aefdae1984bd4a3,2017-08-22T15:34:00Z,21.69
87d155f1ea1189c99b9848ddedff0479,2017-08-22T17:59:00Z,21.73
76947910e3c031debb61ecad0a1db90b,2017-08-10T17:38:00Z,21.73
b129da41da5971ef2f449fe550d9c319,2017-05-23T01:08:00Z,21.76
b5a9693ec8b8e536eb9d160567e8e9f1,2017-09-28T16:38:00Z,21.81
d63e1a59660834d10f7b8783f24c7f35,2017-09-14T14:01:00Z,21.83
49e22b280fcfc9f8408d62e602ce6099,2017-08-10T21:53:00Z,21.84
4c29bef095fddbc42ec8d87cfd2b2f44,2017-09-28T14:32:00Z,21.86
47516be9a0b0c78b07484d68ec1436a8,2017-09-14T15:44:00Z,21.9
3dafac763c19b2160ecb363d9aa931ce,2017-09-29T01:32:00Z,21.98
3871fcc490226cefacc9382e6b3127d3,2017-07-04T18:06:00Z,21.98
dffdd402104d13b25765f51f64776f03,2017-09-28T05:32:00Z,21.99
ffa943090cd474d604afbe1045380157,2017-08-15T18:24:00Z,22.0
a434093fbf07b7f274ff64b472513cc3,2017-08-18T13:04:00Z,22.04
435d768d4011682c6e2493387256e9de,2017-09-14T13:35:00Z,22.05
ca5cc4f526fcff10e85ce2685999e2c1,2017-09-14T17:34:00Z,22.07
907dfaf5f44278dfbe2605d7bcce21ab,2017-08-10T21:50:00Z,22.09
f0a0820d027b903eb8302d6a3b289fb6,2017-09-14T12:34:00Z,22.11
1d53e58b0deceb7090d8a2886cab4b5a,2017-07-26T13:09:00Z,22.14
c62ad2101e8d6bdac41b13ff80d90bc7,2017-08-22T19:16:00Z,22.19
7f0c5dc8fa4e86853497f452e7ac9c8e,2017-03-30T18:29:00Z,22.19
073735c708e5a810929c67776a097228,2017-05-26T03:21:00Z,22.21
cfb3cab3a2531ef36d85ec5922d6cdb0,2017-08-23T00:06:00Z,22.24
56706340b786eac36a38dede1fd03ef8,2017-09-29T05:45:00Z,22.25
71bb796ed8b4b2cff2fcef5e8d08a398,2017-04-28T04:40:00Z,22.28
a26f57428bab9fe003c340282d31ba1e,2017-09-14T18:03:00Z,22.29
0aceec663cec529d2484159c635d01a6,2017-11-06T03:25:00Z,22.33
a2c2516aaed7777ec6324feed5242302,2017-10-16T14:52:00Z,22.34
2e7ca643db9d36d871d409237cc90c59,2017-09-14T13:51:00Z,22.42
9cc6cb99fba971c3841142d9345b4765,2017-08-16T01:49:00Z,22.42
f7d9004e989590a3b3ea0383fb3d9364,2017-09-15T04:46:00Z,22.43
17b45a5471af2f3c9ab7f7f32e2b84fe,2017-09-28T16:22:00Z,22.47
c757727e53d45ce13cc23bf8d82d5b79,2017-10-01T14:15:00Z,22.53
11d6a1f6cd583aa5273e426f33e631a0,2017-09-28T22:09:00Z,22.53
f7123766bd977f0b806ff88b4ca00ecc,2017-09-14T18:20:00Z,22.54
bd1aebdc052c64a5ef7ba0e0ab33af05,2017-04-28T12:56:00Z,22.57
1ca63469b8754521b79cf4f9ad628535,2017-07-26T02:24:00Z,22.6
0c6dce52a5f32a2f21a8d86e387d9443,2017-09-14T14:19:00Z,22.62
ffb9d212fc7426ee76e4697510cca18c,2017-09-15T00:34:00Z,22.67
33a674d21dd2aba36c3d83373bf976a8,2017-08-23T07:34:00Z,22.69
947515ff359faa646bf68fa3fdcf1299,2017-07-30T22:07:00Z,22.71
fc10f67b6590b83dde5d4c6548e5ecc1,2017-10-17T03:31:00Z,22.72
dbd3501b953b39391b8225d7949214ff,2017-10-17T02:28:00Z,22.74
0d4c1db1a294d58c4469c54abe6df991,2017-09-28T14:59:00Z,22.78
6efae5930eb84ce406d80eeac5e5949a,2017-09-14T13:29:00Z,22.79
6168cf9836f583df5408561c229b6042,2017-09-29T00:19:00Z,22.8
90e2328f04f4ce120885b45cade77b07,2017-09-28T15:18:00Z,22.81
